Score,Tanks,Truck Heads,Tank Capacity,Tank Duration,Travel Time,Fill Time,Safety Window,Deliveries,Dispatches,Returns,Downtime,Safety Violations,Average Tank Wait,Average Cycle Time,Average Delivery Time,Average Empty Tank Wait
0,3,3,520,480,90,120,60,89,90,88,3360,0,345.6666666666667,1433.1818181818182,716.2921348314607,156.47727272727272
0,3,3,520,480,105,90,30,89,90,88,1680,0,360.5,1434.375,741.7415730337078,132.4431818181818
0,3,3,520,480,105,90,60,89,90,88,3390,0,355.8333333333333,1433.8636363636363,731.2921348314607,147.10227272727272
0,3,3,520,480,105,120,30,89,90,88,1650,0,331.1666666666667,1434.375,741.7415730337078,131.76136363636363
0,3,3,520,480,105,120,60,89,90,88,3360,0,326.1666666666667,1433.8636363636363,731.2921348314607,146.76136363636363
0,3,4,520,480,75,90,30,89,90,88,1680,0,408.8333333333333,1432.6704545454545,711.7415730337078,142.32954545454547
0,3,4,520,480,75,90,60,89,90,88,3390,0,394.8333333333333,1432.5,701.2921348314607,166.5340909090909
0,3,4,520,480,75,120,30,89,90,88,1650,0,379.5,1432.6704545454545,711.7415730337078,141.64772727272728
0,3,4,520,480,75,120,60,89,90,88,3360,0,365.1666666666667,1432.5,701.2921348314607,166.1931818181818
0,3,4,520,480,90,90,30,89,90,88,1680,0,384.6666666666667,1433.5227272727273,726.7415730337078,137.38636363636363
0,3,4,520,480,90,90,60,89,90,88,3390,0,375.3333333333333,1433.1818181818182,716.2921348314607,156.8181818181818
0,3,4,520,480,90,120,30,89,90,88,1650,0,355.3333333333333,1433.5227272727273,726.7415730337078,136.70454545454547
0,3,4,520,480,90,120,60,89,90,88,3360,0,345.6666666666667,1433.1818181818182,716.2921348314607,156.47727272727272
0,3,4,520,480,105,90,30,89,90,88,1680,0,360.5,1434.375,741.7415730337078,132.4431818181818
0,3,4,520,480,105,90,60,89,90,88,3390,0,355.8333333333333,1433.8636363636363,731.2921348314607,147.10227272727272
0,3,4,520,480,105,120,30,89,90,88,1650,0,331.1666666666667,1434.375,741.7415730337078,131.76136363636363
0,3,4,520,480,105,120,60,89,90,88,3360,0,326.1666666666667,1433.8636363636363,731.2921348314607,146.76136363636363
0,3,5,520,480,75,90,30,89,90,88,1680,0,408.8333333333333,1432.6704545454545,711.7415730337078,142.32954545454547
0,3,5,520,480,75,90,60,89,90,88,3390,0,394.8333333333333,1432.5,701.2921348314607,166.5340909090909
0,3,5,520,480,75,120,30,89,90,88,1650,0,379.5,1432.6704545454545,711.7415730337078,141.64772727272728
0,3,5,520,480,75,120,60,89,90,88,3360,0,365.1666666666667,1432.5,701.2921348314607,166.1931818181818
0,3,5,520,480,90,90,30,89,90,88,1680,0,384.6666666666667,1433.5227272727273,726.7415730337078,137.38636363636363
0,3,5,520,480,90,90,60,89,90,88,3390,0,375.3333333333333,1433.1818181818182,716.2921348314607,156.8181818181818
0,3,5,520,480,90,120,30,89,90,88,1650,0,355.3333333333333,1433.5227272727273,726.7415730337078,136.70454545454547
0,3,5,520,480,90,120,60,89,90,88,3360,0,345.6666666666667,1433.1818181818182,716.2921348314607,156.47727272727272
0,3,5,520,480,105,90,30,89,90,88,1680,0,360.5,1434.375,741.7415730337078,132.4431818181818
0,3,5,520,480,105,90,60,89,90,88,3390,0,355.8333333333333,1433.8636363636363,731.2921348314607,147.10227272727272
0,3,5,520,480,105,120,30,89,90,88,1650,0,331.1666666666667,1434.375,741.7415730337078,131.76136363636363
0,3,5,520,480,105,120,60,89,90,88,3360,0,326.1666666666667,1433.8636363636363,731.2921348314607,146.76136363636363
0,4,2,520,480,75,90,30,87,89,88,2100,0,538.4831460674158,1898.5227272727273,937.7586206896551,259.2613636363636
0,4,2,520,480,75,120,30,87,88,88,2010,0,504.8863636363636,1901.7613636363637,947.4137931034483,257.3863636363636
0,4,2,520,480,90,90,30,87,89,88,2160,0,450.0,1898.8636363636363,1020.0,248.52272727272728
0,4,2,520,480,90,120,30,87,89,88,2130,0,421.0112359550562,1898.8636363636363,1020.3448275862069,246.47727272727272
0,4,2,520,480,105,90,30,87,89,88,2160,0,424.0449438202247,1900.0568181818182,1035.0,245.11363636363637
0,4,2,520,480,105,120,30,87,89,88,2130,0,395.0561797752809,1900.0568181818182,1035.344827586207,243.0681818181818
0,5,2,520,480,75,90,30,86,87,87,2040,0,695.5172413793103,2377.9310344827586,968.3720930232558,560.6896551724138
0,6,2,520,480,75,120,60,94,97,95,660,0,445.82474226804123,2600.2105263157896,1050.159574468085,901.2631578947369
0,6,2,520,480,90,120,60,94,97,95,660,0,419.69072164948454,2602.1052631578946,1065.0,898.1052631578947
0,6,2,520,480,105,120,60,94,97,95,660,0,393.55670103092785,2604.0,1079.840425531915,894.9473684210526
