Time,Day,Event,Truck,Tank,Truck State,Tank State,Truck Location,Tank Location
17865,13,TRUCK_ARRIVED,5,3,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
17865,13,TRUCK_ARRIVED,1,4,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
17925,13,TANK_EMPTY,,5,,EMPTY_AT_C,,POINT_C
17925,13,TRUCK_RETURN_DEPARTED,2,5,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
18030,13,TRUCK_RETURN_ARRIVED,2,5,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
18030,13,TANK_FILL_STARTED,,5,,FILLING,,POINT_A
18150,13,TANK_FILL_COMPLETED,,5,,READY_AT_A,,POINT_A
18285,13,SUPPLY_STARTED,,6,,SUPPLYING,,POINT_C
18345,13,TANK_EMPTY,,1,,EMPTY_AT_C,,POINT_C
18705,14,SUPPLY_STARTED,,2,,SUPPLYING,,POINT_C
18720,14,WORKDAY_STARTED,,,,,,
18720,14,TRUCK_RETURN_DEPARTED,3,1,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
18765,14,TANK_EMPTY,,6,,EMPTY_AT_C,,POINT_C
18765,14,TRUCK_RETURN_DEPARTED,4,6,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
18825,14,TRUCK_RETURN_ARRIVED,3,1,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
18825,14,TANK_FILL_STARTED,,1,,FILLING,,POINT_A
18870,14,TRUCK_RETURN_ARRIVED,4,6,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
18870,14,TANK_FILL_STARTED,,6,,FILLING,,POINT_A
18945,14,TANK_FILL_COMPLETED,,1,,READY_AT_A,,POINT_A
18990,14,TANK_FILL_COMPLETED,,6,,READY_AT_A,,POINT_A
19020,14,DISPATCH_READY,,,,,,
19020,14,TRUCK_DEPARTED,2,5,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
19020,14,TRUCK_DEPARTED,3,1,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
19020,14,TRUCK_DEPARTED,4,6,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
19125,14,SUPPLY_STARTED,,3,,SUPPLYING,,POINT_C
19125,14,TRUCK_ARRIVED,2,5,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
19125,14,TRUCK_ARRIVED,3,1,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
19125,14,TRUCK_ARRIVED,4,6,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
19185,14,TANK_EMPTY,,2,,EMPTY_AT_C,,POINT_C
19185,14,TRUCK_RETURN_DEPARTED,5,2,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
19290,14,TRUCK_RETURN_ARRIVED,5,2,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
19290,14,TANK_FILL_STARTED,,2,,FILLING,,POINT_A
19410,14,TANK_FILL_COMPLETED,,2,,READY_AT_A,,POINT_A
19545,14,SUPPLY_STARTED,,4,,SUPPLYING,,POINT_C
19605,14,TANK_EMPTY,,3,,EMPTY_AT_C,,POINT_C
19965,15,SUPPLY_STARTED,,5,,SUPPLYING,,POINT_C
20025,15,TANK_EMPTY,,4,,EMPTY_AT_C,,POINT_C
20160,15,DISPATCH_READY,,,,,,
20160,15,WORKDAY_STARTED,,,,,,
20160,15,TRUCK_RETURN_DEPARTED,1,3,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
20160,15,TRUCK_RETURN_DEPARTED,2,4,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
20265,15,TRUCK_RETURN_ARRIVED,1,3,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
20265,15,TRUCK_RETURN_ARRIVED,2,4,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
20265,15,TANK_FILL_STARTED,,3,,FILLING,,POINT_A
20265,15,TANK_FILL_STARTED,,4,,FILLING,,POINT_A
20280,15,DISPATCH_READY,,,,,,
20280,15,TRUCK_DEPARTED,5,2,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
20385,15,SUPPLY_STARTED,,1,,SUPPLYING,,POINT_C
20385,15,TANK_FILL_COMPLETED,,3,,READY_AT_A,,POINT_A
20385,15,TANK_FILL_COMPLETED,,4,,READY_AT_A,,POINT_A
20385,15,TRUCK_ARRIVED,5,2,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
20445,15,TANK_EMPTY,,5,,EMPTY_AT_C,,POINT_C
20445,15,TRUCK_RETURN_DEPARTED,3,5,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
20550,15,TRUCK_RETURN_ARRIVED,3,5,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
20550,15,TANK_FILL_STARTED,,5,,FILLING,,POINT_A
20670,15,TANK_FILL_COMPLETED,,5,,READY_AT_A,,POINT_A
20700,15,DISPATCH_READY,,,,,,
20700,15,TRUCK_DEPARTED,1,3,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
20700,15,TRUCK_DEPARTED,2,4,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
20700,15,TRUCK_DEPARTED,3,5,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
20805,15,SUPPLY_STARTED,,6,,SUPPLYING,,POINT_C
20805,15,TRUCK_ARRIVED,1,3,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
